input,output,label
"The Briton , who lost his World Boxing Council ( WBC ) title to Mike Tyson in March , said : "" I was in shock as soon as he told me and it still has n't really sunk in .","[{""text"": ""##riton"", ""type"": ""MISC""}, {""text"": ""B"", ""type"": ""MISC""}, {""text"": ""Boxing Council"", ""type"": ""MISC""}, {""text"": ""WBC"", ""type"": ""MISC""}, {""text"": ""World"", ""type"": ""ORG""}, {""text"": ""Mike Tyson"", ""type"": ""PER""}]",0
Coach Berti Vogts has called up a virtually identical squad for next week 's friendly against Poland -- Germany 's first match since Euro 96 .,"[{""text"": ""Germany"", ""type"": ""LOC""}, {""text"": ""Poland"", ""type"": ""LOC""}, {""text"": ""Euro 96"", ""type"": ""MISC""}, {""text"": ""Berti Vogts"", ""type"": ""PER""}]",1
"On Friday , the Dow Jones index closed down 31.44 points at 5,616.21 .","[{""text"": ""Dow Jones"", ""type"": ""MISC""}]",1
GOLF - LEADING SCORES AT GREATER MILWAUKEE OPEN .,"[{""text"": ""GREAT"", ""type"": ""MISC""}, {""text"": ""MILWAUKEE OPEN"", ""type"": ""MISC""}]",0
"EUROBONDS - Primary market activity was sharply lower , as players wound down ahead of Monday 's U.S. Labour Day holiday and next week 's U.S. employment data .","[{""text"": ""U. S"", ""type"": ""LOC""}, {""text"": ""U. S."", ""type"": ""LOC""}, {""text"": ""EUROBO"", ""type"": ""MISC""}, {""text"": ""Labour Day"", ""type"": ""MISC""}]",0
"For the week , it was down 1.55 points .",[],1
Extras ( lb-3 nb-6 w-7 ) 16,[],1
BAGHDAD 1996-08-31,"[{""text"": ""BAGHDAD"", ""type"": ""LOC""}]",1
Most of the Marines are on three ships in the Tarawa Amphibious Readiness Group .,"[{""text"": ""Marines"", ""type"": ""ORG""}, {""text"": ""Tarawa Amphibious Readiness Group"", ""type"": ""ORG""}]",0
5. Natalia Karimova ( Russia ) 3:45.061,"[{""text"": ""Russia"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Natalia Karimova"", ""type"": ""PER""}]",0
2. Gete Wami ( Ethiopia ) 15:05.21,"[{""text"": ""Ethiopia"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Gete Wami"", ""type"": ""PER""}]",0
Men 's 100 metres,[],1
"The detention of veteran dissident Wang Donghai showed China 's determination to crush any vestige of dissent during the current profound transitions in the nation 's leadership , a human rights activist said on Saturday .","[{""text"": ""China"", ""type"": ""LOC""}, {""text"": ""Wang Donghai"", ""type"": ""PER""}]",1
"STIRLING , Scotland 1996-08-31","[{""text"": ""STIRLING"", ""type"": ""LOC""}, {""text"": ""Scotland"", ""type"": ""LOC""}]",1
"The September bond future on LIFFE was trading at 115.45 , down 0.13 from Thursday 's settlement price .","[{""text"": ""LIFFE"", ""type"": ""ORG""}]",1
"10. Paul Lawrie 211,420","[{""text"": ""."", ""type"": ""PER""}, {""text"": ""Paul Lawrie"", ""type"": ""PER""}]",0
Egypt police detain 26 suspected Moslem militants .,"[{""text"": ""Egypt"", ""type"": ""LOC""}, {""text"": ""Moslem"", ""type"": ""MISC""}]",1
Sweden beat Latvia 2-0 ( halftime 0-0 ) in a European under-21 soccer championship qualifier on Saturday .,"[{""text"": ""Latvia"", ""type"": ""LOC""}, {""text"": ""Sweden"", ""type"": ""LOC""}, {""text"": ""European"", ""type"": ""MISC""}]",1
"New Zealand - Tries : Sean Fitzpatrick , Walter Little , Justin Marshall .","[{""text"": ""New Zealand"", ""type"": ""LOC""}, {""text"": ""Justin Marshall"", ""type"": ""PER""}, {""text"": ""Sean Fitzpatrick"", ""type"": ""PER""}, {""text"": ""Walter Little"", ""type"": ""PER""}]",1
I feel good .,[],1
Wycombe 4 0 3 1 2 3 3,"[{""text"": ""Wycombe"", ""type"": ""ORG""}]",1
"CRICKET - PAKISTAN WIN TOSS , PUT ENGLAND IN TO BAT .","[{""text"": ""ENGLAND"", ""type"": ""LOC""}, {""text"": ""PAKISTAN"", ""type"": ""LOC""}]",1
3. Donovan Bailey ( Canada ) 10.13,"[{""text"": ""Canada"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Donovan Bailey"", ""type"": ""PER""}]",0
All figures in billions of dollars .,[],1
He said damage and casualties in the city were heavy and Kurdish forces were defending the city .,"[{""text"": ""Kurdish"", ""type"": ""MISC""}]",1
"Avg shrs 4,666 3,944",[],1
Obilic 4 4 0 0 10 1 12,"[{""text"": ""Obilic"", ""type"": ""ORG""}]",1
Iraq 's Aziz says Baghdad aiding KDP against rivals .,"[{""text"": ""Baghdad"", ""type"": ""LOC""}, {""text"": ""Iraq"", ""type"": ""LOC""}, {""text"": ""KDP"", ""type"": ""ORG""}, {""text"": ""Aziz"", ""type"": ""PER""}]",1
bank said .,[],1
LONDON 1996-08-31,"[{""text"": ""LONDON"", ""type"": ""LOC""}]",1
The Republic of Ireland beat Liechtenstein 5-0 ( halftime 4-0 ) in a World Cup soccer European group 8 qualifier on Saturday .,"[{""text"": ""Liechtenstein"", ""type"": ""LOC""}, {""text"": ""Republic of Ireland"", ""type"": ""LOC""}, {""text"": ""European"", ""type"": ""MISC""}, {""text"": ""World Cup"", ""type"": ""MISC""}]",1
English soccer league standings,"[{""text"": ""English"", ""type"": ""MISC""}]",1
Libyans are dressing up their capital Tripoli for celebrations on Sunday of the 27th anniversary of the coup which brought Muammar Gaddafi to power .,"[{""text"": ""Tripoli"", ""type"": ""LOC""}, {""text"": ""Libyan"", ""type"": ""MISC""}, {""text"": ""##am"", ""type"": ""PER""}, {""text"": ""##fi"", ""type"": ""PER""}, {""text"": ""##mar Gadda"", ""type"": ""PER""}, {""text"": ""Mu"", ""type"": ""PER""}]",0
Traders also said players were selling refined products in favor of crude ahead of the front month 's Friday expiry in the refined products .,[],1
"Primary dealers immediately sold Eurodollar and bond futures , after the market on average was expecting the index to rise marginally to 51.9 from July 's 51.2 .","[{""text"": ""Eurodo"", ""type"": ""MISC""}, {""text"": ""##llar"", ""type"": ""ORG""}]",0
"Beck allowed a two-run double to Alvaro Espinoza , who collected a career-high four RBI , but struck out Brent Mayne for his 31st save .","[{""text"": ""RBI"", ""type"": ""MISC""}, {""text"": ""Alvaro Espinoza"", ""type"": ""PER""}, {""text"": ""Beck"", ""type"": ""PER""}, {""text"": ""Brent Mayne"", ""type"": ""PER""}]",1
R. Irani not out 45,"[{""text"": "". Irani"", ""type"": ""PER""}, {""text"": ""R"", ""type"": ""PER""}]",0
WARSAW 1996-08-31,"[{""text"": ""WARSAW"", ""type"": ""LOC""}]",1
"Tens of thousands of people have died in the war , begun in late 1994 after Moscow sent troops to quell Chechnya 's independence bid .","[{""text"": ""Chechnya"", ""type"": ""LOC""}, {""text"": ""Moscow"", ""type"": ""LOC""}]",1
"I think he got a little tight at a couple of moments , "" said Washington . ""","[{""text"": ""Washington"", ""type"": ""LOC""}]",0
"After bogeying the 10th hole to move to four-over for the round , he rallied for birdies on 15 and 18 .",[],1
Darren Dreifort ( 1-1 ) picked up the win after allowing a hit and a walk over 2 1/3 scoreless innings .,"[{""text"": ""Darren Dreifort"", ""type"": ""PER""}]",1
HONG KONG 1996-08-30,"[{""text"": ""##G"", ""type"": ""LOC""}, {""text"": ""##G KON"", ""type"": ""LOC""}, {""text"": ""##ON"", ""type"": ""LOC""}, {""text"": ""H"", ""type"": ""LOC""}]",0
He submitted a petition to the International Red Cross in 1993 asking for his repatriation .,"[{""text"": ""International Red Cross"", ""type"": ""ORG""}]",1
