input,output,label
波黑奥委会主席：坚信中国有能力在特殊时期办好冬奥盛会-新华网,Chairman of the Olympic Committee of Bosnia and Herzegovina: firmly confident that China has the ability to hold the Winter Olympics at special times,1
兰花：至少有 两万种兰花 -- 多种多样的令人惊异。,"Orchids: There are at least 20,000 species of orchids-amazing variety.",1
当然，你会无助地发现你的头也被挤压和拉伸， 所以你可能无法理解究竟发生了什么。,"Now of course, your head would be squeezed and stretched unhelpfully, so you might have trouble understanding what's going on.",0
“很多疾病早期检测、切除不到位，跟医生手术室用的灯有关 。 ”,“The lack of early detection and resection of many diseases is related to the lights used in doctors' operating rooms. ”,0
还有一部分品牌，为了推广自己的产品，不择手段，跟医院的医生挂钩，由他们协助产品的推广，从一听里面抽成30元到80元不等的利润。,"There are also some brands, in order to promote their products, by any means, linked to the hospital's doctors, by which they assist in the promotion of products, from the first listening to the profit of 30 to 80 yuan.",0
在技术应用和演播室设计上，《 走村直播看脱贫》勇于突破，首创了“外场新媒体大篷车”。,"In terms of technology application and studio design, ""Walking Village Live to Watch Poverty Alleviation"" has the courage to break through and pioneered the ""outfield new media caravan"".",0
曼西内利当时虽然有上小学，但后来没有毕业。,"Although Mancinelli entered elementary school, he did not graduate.",1
改革后，审批环节由之前的“登记、受理、现场核查、抽样检验、材料审核、审批制证”6个环节压缩至“登记、受理、审批制证”3个环节，办结时间由改革前的20个工作日，缩短至当场办结。,"After the reform, the examination and approval process has been reduced from the previous six processes of ""registration, acceptance, on-site verification, sampling examination, material review and approval and licensing"" to four processes of ""registration, acceptance and approval and licensing"". All the processes can be handled in one day compared with the previous 20 working days.",1
为方便学生就近参加考查，东城区延续去年的考查安排方式，在每个学区分别设置1~2个考查地点，共13个考查地点。,"In order to facilitate students to participate in the examination nearby, Dongcheng District continued the examination arrangement method of last year, and set up 1~2 examination locations in each school district, with a total of 13 examination locations.",1
疫情爆发后，中国消费者正从食用猪肉转向其他动物蛋白，疫情使得当局销毁了许多畜群，在过去一年中，中国的生猪数量减少了一半，猪肉价格几乎翻了一番。,"Chinese consumers are switching from eating pork to other animal proteins in the wake of the outbreak, which has led authorities to destroy many herds. In the past year, China's pig population has halved and pork prices have nearly doubled.",1
谋杀率从每一百万 15 起 直到 150 起。,It goes from 15 homicides per million up to 150.,0
目前，周某已在猕猴保护区义务劳动3个月，巡山积极，表现良好。,"At present, Zhou has been working in the macaque monkey reserve for 3 months, actively visiting the mountains and performing well.",1
答：国产的是替代产品，非原厂在中国生产的产品，只是国内都沿用该说法。,"A: The domestic products are substitutes, not the original products produced in China, but the saying is used in China.",0
这是相互信任指数。,This is the mutual trust index.,1
这种模式，有点类似于“电话销售”一般的流水线作业，但如此购买保险也会有一个致命的问题，那就是——后续的服务可能会跟不上。,"This model is somewhat similar to the general assembly line operation of “telephone sales,” but there is also a fatal problem when purchasing insurance in this way, which is that the follow-up services may not keep up.",1
治安警察局 17宗 (涉及：查询出入境措施；查询粤澳两地牌车辆出入境措施；查询珠海政务热线；查询证件逗留问题。）,17 cases from the Public Security Police (related to: Enquire about entry and exit measures; Enquire about entry and exit measures for vehicles licensed in Guangdong and Macao; Enquire about the Zhuhai Government Hotline; Enquire about the stay of documents).,0
程女士是个二胎孕妈，9月19日早上7时，她感觉肚子有点疼，想着已经怀孕32周了，而且第一胎也是早产，她收拾了待产物品，准备洗完澡直接去医院。,"Ms. Cheng is a pregnant mother with a second child. At 7: 00 a.m. on September 19, she felt a little pain in her stomach. She thought she was 32 weeks pregnant and her first child was premature. She packed up the items to be delivered and prepared to go directly to the hospital after taking a bath.",0
妆容很精致，团队服务也很好，这次旅行很开心，很专业的团队，卖家服务态度很好，会介绍给朋友的，很满意。,"Makeup is very exquisite, the team service is also very good, this trip is very happy, very professional team, the seller service attitude is very good, will introduce to friends, very satisfied.",1
中方愿同非方加强协调，坚定推进非洲自主和平行动的能力建设。,China is ready to strengthen coordination with Africa and firmly promote the capacity-building of independent peace operations in Africa.,1
从古至今，大学精神对于政治、经济、文化、科技、社会的发展，乃至一个民族的进步均至关重要。,"From ancient times to the present, the spirit of the university has been crucial to the political, economic, cultural, scientific and technological, social development, and even the progress of a nation.",1
在下发的《关于严禁国庆长假违规补课的通知》中，江西省教育厅强调，各地中小学校在国庆期间要坚决做到：一律不得组织学生集体补课或上新课，一律不得举办学科培训班、特长班、奥赛班、兴趣班、提高班等，一律不得将校园、校舍出租给其他教育机构举办各类培训班。,"In the ""Notice on the Prohibition of Illegal Replacement of Courses during the National Day Holiday,"" the Jiangxi Provincial Department of Education stressed that all primary and secondary schools should resolutely do during the National Day period: They should not organize students to make up lessons collectively or take new classes, they should not hold subject training courses, special classes, Olympic classes, interest classes, improvement classes, etc., and they should not rent campuses and school buildings to other educational institutions to hold various training courses.",0
室内外保洁 ，我的日常工作,"Indoor and outdoor cleaning, my daily routine",1
那么红牌威士忌怎么喝呢？,So how do you drink red card whisky?,0
是否已取消了,Has it been cancelled,1
习近平总书记在会上发表重要讲话，深刻总结2021年经济工作，深入分析当前经济形势，对2022年经济工作作出重大部署，为我们做好明年经济工作，迎接党的二十大胜利召开，指明了前进方向、提供了根本遵循。,"General Secretary Xi Jinping delivered an important speech at the meeting, summed up the economic work in 2021, analyzed the current economic situation, made major arrangements for economic work in 2022, prepared for us to do a good job of economic work for next year, welcomed the victory of the 20th Party National Congress, pointed out the direction for advancing, and provided the fundamental rules.",0
意见出台后，上市公司进行股份回购的操作，具有更多适用情形，回购流程更简便，股份回购积极性也更大。,"After the opinions are issued, the listed companies carry out the operation of share repurchase, which has more applicable circumstances, the repurchase process is simpler and the enthusiasm for share repurchase is greater.",0
但它们确实需要传播它们的基因 与其他的基因混合， 这样它们才能生态环境。,But they do need to spread their genes to mix with other genes so that they can be ecological.,0
购买须知,Purchase Notes,1
肖千代表中国驻印尼大使馆、驻东盟使团致辞说，1949年新中国诞生开启中国历史新纪元。,"Speaking on behalf of the Chinese Embassy in Indonesia and the mission in ASEAN, Xiao Qian said that the founding of New China in 1949 had opened a new era in Chinese history.",0
米勒-塔巴克资产管理公司股票策略师马特·梅利说，经贸摩擦仍是“首要问题 ” ， 也是造成今年美国资本市场大幅波动的主要原因，经贸摩擦能否妥善解决，将是影响今年剩余时间里美国资本市场走向的关键。,"Matt Merley, a stock strategist at Miller-Tabak Asset Management, said that economic and trade friction is still the ""primary problem"" and the main reason for the large fluctuations in the US capital market this year. Whether the economic and trade friction can be properly resolved will affect this year. The key to the direction of US capital markets in the remaining time.",0
最新数据显示，比利时累计64847人感染新冠病毒。,"The latest data show that a total of 64,847 people in Belgium have been infected with the COVID-19 virus.",1
袁隆平，潜心水稻研究，育出良种遍耕天下，让十几亿国人不复有饥馁之虞，功莫大焉，此翁平时也就像一位喜欢在田间地头遛跶的老农民；南仁东，殚精竭虑让中国“天眼”怒睁的首席科学家，一个人、一辈子、一口锅，一生只做一件事，在贵州深山里啃着冷馒头，和寨子里的老汉没啥两样；周汝昌，红学家，一个开蒙很晚的村童，到老仍像赤子，学贯中西，顶着一头乱蓬蓬的白发，说起学问到会心处，喜欢哗啦啦大笑；秦怡，红透半边天的电影艺术家，过了九十岁，还为了排戏在高原每天颠簸六七个小时，还乐意在《妖猫传》里扮个不知名的老婢女 … …,"Yuan Longping, devoted to the study of rice, nurtured good seeds all over the world, so that more than a billion people no longer have the risk of hunger and discouragement, this Weng is usually like an old farmer who likes to walk in the fields; Nan Rendong, the chief scientist who worked hard to make China's ""sky eye"" angry, a person, a lifetime, a pot, only do one thing in his life, gnawing cold steamed buns in the deep mountains of Guizhou, no different from the old man in the stockade; Zhou Ruchang, a red scholar, a late village boy, still like a red son, learning from China and the West, with a disheveled white hair, talking about learning to the heart, like to laugh; Qin Yi, a film artist who has passed the age of 90, is still happy to play on the plateau for six or seven",0
从理论上说，即使发生破产清算，农民只存在丧失一定期限的经营权的风险，因此规定承包地退回原承包户在法理上已没有必要，也与《破产法》存在冲突。,"Theoretically, even if bankruptcy liquidation occurs, farmers will only suffer from the risk of losing the right of management, thus it is no longer necessary to stipulate that the contracted land should be returned to the original contractor, which is also in conflict with the Bankruptcy Law.",0
按照先试点再推行，由点到面逐步推进的原则，探索建立校企联合招生、联合培养、一体化育人的长效机制，切实提升学生岗位技能，提高学生对口就业率和就业质量。,"According to the principle of piloting and then implementing itotically, from point to face, explore the establishment of a long-term mechanism for joint enrollment, joint training, and integrated education between schools and enterprises, effectively improve the skills of students to position, and improve their counterpart employment rate and employment quality.",0
这是“友谊勋章 ” 。,"This is the ""Order of Friendship"".",1
